,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_3drna_r1116_1.pdb,,,0.326,0.0,0.0,0.489,,,0.123,0.048,0.082,0.144,0.219,0.0,0.431,,,3.766,0.546,0.037
normalized_isrna_r1116.pdb,,,0.306,0.0,0.0,0.47,,,0.082,0.041,0.062,0.089,0.137,0.0,0.233,,,3.947,0.377,0.04
normalized_rnacomposer_r1116.pdb,,,0.282,0.0,0.0,0.434,,,0.13,0.048,0.082,0.13,0.26,0.0,0.461,,,3.344,0.612,0.039
normalized_vfold_r1116_4.pdb,,,0.265,0.0,0.0,0.42,,,0.149,0.075,0.103,0.144,0.274,0.0,0.44,,,3.349,0.002,0.039
normalized_rhofold_R1116.pdb,22.574,2.275957200481571e-15,0.47,0.378,0.086,0.661,48.028,69.73,0.363,0.11,0.322,0.445,0.575,0.0,0.457,2.305,2.753,2.653,0.0,0.601
normalized_trrosettarna_r1116_2.pdb,,,0.319,0.0,0.0,0.461,,,0.147,0.055,0.096,0.144,0.294,0.0,0.55,,,3.157,0.532,0.038
normalized_vfoldpipeline_r1116.pdb,,,0.318,0.0,0.0,0.474,,,0.161,0.082,0.103,0.164,0.294,0.0,0.486,,,4.708,0.592,0.039
normalized_simrna_r1116.pdb,,,0.343,0.0,0.0,0.533,,,0.104,0.048,0.082,0.116,0.171,0.0,0.295,,,4.311,0.015,0.037
normalized_rnajp_r1116.pdb,,,0.399,0.0,0.0,0.592,,,0.104,0.069,0.089,0.116,0.144,0.0,0.38,,,4.994,0.055,0.04
normalized_alphafold3_r1116_1.pdb,,,0.36,0.0,0.0,0.533,,,0.161,0.069,0.096,0.171,0.308,0.0,0.536,,,4.944,0.693,0.036
